question,answer
"Olen aktiivne mõnes rühmituses, mille eesmärk on hankida ressursse, muuta seadusi või poliitikat (nt vähekindlustatute või keskkonna heaks)","Jah, Ei"
"Kuulun mõnda rühma, klubisse või organisatsiooni (nt jalgpalli-, auto-, tantsu-, teatri-, seltskonna-, kokandus-, kaardimängu- või kultuuriklubi, huviring, erialane etniline rühm)","Jah, Ei"
Tunnen end tööl osana ühtsest meeskonnast,"Ma ei tööta, Ei tunne end osana meeskonnast, Tunnen end osana meeskonnast, kuid mitte tugevalt, Tunnen end väga tugevalt osana meeskonnast"
"Osalen suurtel ja rahvarohketel avalikel üritustel (nt festivalil, laadal, spordivõistlusel, miitingul)","Kord aastas või vähem, Paar korda aastas, Iga paari kuu tagant, Kord kuus, Iga nädal või rohkem"
"Teen vabal ajal mõtlemist ja keskendumist nõudvaid tegevusi (nt loen, maalin, õpin midagi, lahendan ristsõnu, mängin strateegiamänge)","Vähem kui kord kuus, Kord kuus, 2-3 korda kuus, Kord nädalas, 2-3 korda nädalas, 4-6 korda nädalas , Igapäevaselt"
"Aitan teisi väljaspool ametliku vabatahtliku töö raame (nt abistan naabrit, teen haigele sõbrale süüa või aitan tal koristada, juhendan õpilasi projektides)","Kord aastas või vähem, Paar korda aastas, Iga paari kuu tagant, Kord kuus, Iga nädal või rohkem"
"Harrastan vaimseid tegevusi (nt käin jumalateenistustel, spirituaalsetel kogunemistel, mediteerin, arutlen elu mõtte üle vms)","Kord aastas, Kord 4-6 kuu jooksul, Kord iga 2-3 kuu jooksul, 1-2 korda kuus, 3-4 korda kuus, Iga nädal või rohkem"
Mu töö on keeruline ja hõlmab uute asjade õppimist,"Ma ei tööta, Ei ole keeruline, Veidi keeruline, Väga keeruline"
"Mul on vabal ajal käsil midagi proovile panevat (nt kodu või aia edendamise projekt, võistlusteks või rahvajooksuks treenimine, uue oskuse, sh keele, käsitöötehnika, pillimängu vms omandamine)","Jah, Ei"
Joon lisaks toiduga saadavale vedelikule 3-4 klaasi vett päevas,"Jah, Ei"
Tarvitan alkoholi 4 või rohkemal päeval nädalas,"Jah, Ei"
Söön 3-4 regulaarset söögikorda päevas,"Jah, Ei"
Söön iga päev vähemalt 5 peotäit puu- ja köögivilju,"Enamasti küll, Harva, Ei"
Minu toitumist iseloomustab enim…,"Ma naudin head toitu, Mu toitumine on teadlik ja tervislik, Toitumine on mulle ebaoluline (ei pööra tähelepanu sellele, mida söön), Olen seadnud endale toitumisega seoses mingid ranged piirangud, Toiduteema on mulle stressi tekitav"
"Kirjelda lühidalt oma sõnadega eesmärki, milleni sooviksid jõuda Vaimse Heaolu Plaani eduka täitmise tulemusena",
Kui suur on hetkel Sinu motivatsioon selle eesmärgi täitmiseks,"1,2,3,4,5,6,7,8,9,10"
"Kuivõrd Sa usud, et saavutad seatud eesmärgi","1,2,3,4,5,6,7,8,9,10"
